t (s),V (mV),,t (s),V (mV),,t (s),V (mV)
88.814,11.6415,,88.814,2.4545763,,88.814,3.9320273
89.814,11.6332,,89.814,2.453863079,,89.814,3.931314079
90.814,11.6255,,90.814,2.453200961,,90.814,3.930651961
91.813,11.617,,91.813,2.452469543,,91.813,3.929920543
92.814,11.609,,92.814,2.451780659,,92.814,3.929231659
93.814,11.601,,93.814,2.451091301,,93.814,3.928542301
94.813,11.5924,,94.813,2.450349711,,94.813,3.927800711
95.814,11.5846,,95.814,2.44967663,,95.814,3.92712763
96.814,11.5761,,96.814,2.448942628,,96.814,3.926393628
97.814,11.5669,,97.814,2.448147571,,97.814,3.925598571
98.813,11.5591,,98.813,2.447473006,,98.813,3.924924006
99.814,11.5507,,99.814,2.446746041,,99.814,3.924197041
100.814,11.5433,,100.814,2.446105182,,100.814,3.923556182
101.813,11.5347,,101.813,2.445359883,,101.813,3.922810883
102.814,11.5274,,102.814,2.44472681,,102.814,3.92217781
103.814,11.5195,,103.814,2.444041252,,103.814,3.921492252
104.814,11.5103,,104.814,2.443242287,,104.814,3.920693287
105.813,11.5023,,105.813,2.442547015,,105.813,3.919998015
106.814,11.4951,,106.814,2.441920858,,106.814,3.919371858
107.814,11.4863,,107.814,2.441155021,,107.814,3.918606021
108.814,11.4781,,108.814,2.440440872,,108.814,3.917891872
109.814,11.4698,,109.814,2.439717494,,109.814,3.917168494
110.814,11.4626,,110.814,2.439089562,,110.814,3.916540562
111.813,11.4537,,111.813,2.438312822,,111.813,3.915763822
112.814,11.4464,,112.814,2.43767527,,112.814,3.91512627
113.814,11.4386,,113.814,2.436993601,,113.814,3.914444601
114.814,11.4304,,114.814,2.436276473,,114.814,3.913727473
115.813,11.4225,,115.813,2.435585094,,115.813,3.913036094
116.814,11.4146,,116.814,2.434893238,,116.814,3.912344238
117.814,11.4076,,117.814,2.4342798,,117.814,3.9117308
118.813,11.3984,,118.813,2.433472995,,118.813,3.910923995
119.814,11.3913,,119.814,2.432849906,,119.814,3.910300906
120.814,11.3849,,120.814,2.432287916,,120.814,3.909738916
121.814,11.3758,,121.814,2.431488292,,121.814,3.908939292
122.814,11.3675,,122.814,2.430758407,,122.814,3.908209407
123.814,11.3613,,123.814,2.430212843,,123.814,3.907663843
124.813,11.3528,,124.813,2.42946441,,124.813,3.90691541
125.814,11.3446,,125.814,2.42874186,,125.814,3.90619286
126.813,11.3371,,126.813,2.428080534,,126.813,3.905531534
127.814,11.3282,,127.814,2.427295192,,127.814,3.904746192
128.814,11.3201,,128.814,2.426579907,,128.814,3.904030907
129.814,11.3114,,129.814,2.425811067,,129.814,3.903262067
130.813,11.3034,,130.813,2.425103565,,130.813,3.902554565
131.814,11.2954,,131.814,2.424395563,,131.814,3.901846563
132.814,11.2866,,132.814,2.423616181,,132.814,3.901067181
133.813,11.2786,,133.813,2.422907125,,133.813,3.900358125
134.814,11.2722,,134.814,2.422339518,,134.814,3.899790518
135.814,11.2629,,135.814,2.421514138,,135.814,3.898965138
136.813,11.2544,,136.813,2.420759163,,136.813,3.898210163
137.814,11.2469,,137.814,2.420092535,,137.814,3.897543535
138.813,11.2393,,138.813,2.419416565,,138.813,3.896867565
139.813,11.2314,,139.813,2.418713427,,139.813,3.896164427
140.814,11.2229,,140.814,2.417956334,,140.814,3.895407334
141.814,11.215,,141.814,2.417252168,,141.814,3.894703168
142.813,11.2079,,142.813,2.416618887,,142.813,3.894069887
143.814,11.1983,,143.814,2.415761981,,143.814,3.893212981
144.814,11.1912,,144.814,2.415127755,,144.814,3.892578755
145.813,11.1842,,145.813,2.414502068,,145.813,3.891953068
146.814,11.1759,,146.814,2.413759674,,146.814,3.891210674
147.814,11.1681,,147.814,2.4130615,,147.814,3.8905125
148.813,11.1613,,148.813,2.412452438,,148.813,3.889903438
149.814,11.1542,,149.814,2.411816109,,149.814,3.889267109
150.813,11.1456,,150.813,2.411044801,,150.813,3.888495801
151.814,11.1389,,151.814,2.410443486,,151.814,3.887894486
152.814,11.1323,,152.814,2.409850793,,152.814,3.887301793
153.814,11.1239,,153.814,2.409095947,,153.814,3.886546947
154.814,11.1173,,154.814,2.408502454,,154.814,3.885953454
155.814,11.1101,,155.814,2.407854605,,155.814,3.885305605
156.814,11.1019,,156.814,2.407116265,,156.814,3.884567265
157.813,11.0944,,157.813,2.406440477,,157.813,3.883891477
158.814,11.0873,,158.814,2.405800309,,158.814,3.883251309
159.814,11.0796,,159.814,2.40510558,,159.814,3.88255658
160.813,11.0716,,160.813,2.404383271,,160.813,3.881834271
161.814,11.0647,,161.814,2.403759861,,161.814,3.881210861
162.813,11.0564,,162.813,2.403009446,,162.813,3.880460446
163.814,11.0497,,163.814,2.402403278,,163.814,3.879854278
164.814,11.0425,,164.814,2.401751464,,164.814,3.879202464
165.813,11.0352,,165.813,2.401090164,,165.813,3.878541164
166.814,11.0287,,166.814,2.400500966,,166.814,3.877951966
167.814,11.0205,,167.814,2.399757175,,167.814,3.877208175
168.813,11.0134,,168.813,2.399112713,,168.813,3.876563713
169.814,11.006,,169.814,2.398440579,,169.814,3.875891579
170.814,10.9995,,170.814,2.397849817,,170.814,3.875300817
171.814,10.9915,,171.814,2.397122247,,171.814,3.874573247
172.814,10.9843,,172.814,2.396466981,,172.814,3.873917981
173.813,10.9776,,173.813,2.395856833,,173.813,3.873307833
174.814,10.9707,,174.814,2.395228083,,174.814,3.872679083
175.814,10.9635,,175.814,2.394571574,,175.814,3.872022574
176.814,10.9563,,176.814,2.393914633,,176.814,3.871365633
177.813,10.9495,,177.813,2.393293793,,177.813,3.870744793
178.814,10.9421,,178.814,2.392617735,,178.814,3.870068735
179.814,10.9352,,179.814,2.391986944,,179.814,3.869437944
180.813,10.9276,,180.813,2.391291699,,180.813,3.868742699
181.814,10.9198,,181.814,2.390577655,,181.814,3.868028655
182.814,10.9132,,182.814,2.389973066,,182.814,3.867424066
183.813,10.9054,,183.813,2.389258079,,183.813,3.866709079
184.814,10.8979,,184.814,2.38857011,,184.814,3.86602111
185.814,10.89,,185.814,2.387844937,,185.814,3.865295937
186.814,10.883,,186.814,2.387201939,,186.814,3.864652939
187.814,10.8751,,187.814,2.386475772,,187.814,3.863926772
188.813,10.8684,,188.813,2.385859496,,188.813,3.863310496
189.814,10.8607,,189.814,2.385150769,,189.814,3.862601769
190.813,10.8542,,190.813,2.384552102,,190.813,3.862003102
191.814,10.8464,,191.814,2.383833228,,191.814,3.861284228
192.814,10.8387,,192.814,2.383123063,,192.814,3.860574063
193.814,10.8315,,193.814,2.382458556,,193.814,3.859909556
194.814,10.8246,,194.814,2.381821322,,194.814,3.859272322
195.813,10.8176,,195.813,2.381174437,,195.813,3.858625437
196.814,10.8103,,196.814,2.380499383,,196.814,3.857950383
197.813,10.8042,,197.813,2.379934947,,197.813,3.857385947
198.814,10.7961,,198.814,2.379184958,,198.814,3.856635958
199.813,10.7895,,199.813,2.378573439,,199.813,3.856024439
200.814,10.7819,,200.814,2.377868802,,200.814,3.855319802
201.813,10.7754,,201.813,2.377265758,,201.813,3.854716758
202.814,10.7682,,202.814,2.376597346,,202.814,3.854048346
203.813,10.7616,,203.813,2.375984243,,203.813,3.853435243
204.814,10.755,,204.814,2.375370763,,204.814,3.852821763
